"Course.Year","Course.Code","Course.Name","Assessment.Attempt.Number","Assessment.Mark","Assessment.Grade","grade","AnonID"
"2014/5","MATH08065","Computing and Numerics",1,57,"C","2.2","f6ec232f"
"2014/5","MATH08067","Probability with Applications",1,54,"C","2.2","f6ec232f"
"2014/5","MATH08071","Accelerated Proofs and Problem Solving",1,62,"B","2.1","f6ec232f"
"2015/6","MATH08064","Fundamentals of Pure Mathematics",1,61,"B","2.1","f6ec232f"
"2014/5","PHYS08035","Mathematics for Physics 1",1,67,"B","2.1","9b8e08f9"
"2014/5","PHYS08036","Mathematics for Physics 2",1,48,"D","3rd","9b8e08f9"
"2014/5","MATH08057","Introduction to Linear Algebra",1,49,"D","3rd","19b36f5d"
"2014/5","MATH08058","Calculus and its Applications",1,69,"B","2.1","19b36f5d"
"2014/5","MATH08059","Proofs and Problem Solving",1,43,"D","3rd","19b36f5d"
"2015/6","MATH08051","Statistics (Year 2)",1,40,"FF","FF","19b36f5d"
"2015/6","MATH08051","Statistics (Year 2)",2,53,"C","2.2","19b36f5d"
